"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Create issue via api","","2020-08-07","passed","2020-08-07","","io.eroshenkoam.allure.IssuesRestTest","io.eroshenkoam.allure.IssuesRestTest","shouldCreateUserNote"
"","0","Close issue via api","","2020-08-07","passed","2020-08-07","","io.eroshenkoam.allure.IssuesRestTest","io.eroshenkoam.allure.IssuesRestTest","shouldDeleteUserNote"
"","30","Close issue via api","","2020-08-07","passed","2020-08-07","","io.eroshenkoam.allure.IssuesRestTest","io.eroshenkoam.allure.IssuesRestTest","shouldDeleteUserNote"
"","1049","Close new issue for authorized user","","2020-08-07","passed","2020-08-07","","io.eroshenkoam.allure.IssuesWebTest","io.eroshenkoam.allure.IssuesWebTest","shouldCloseIssue"
"","2048","Create new pull request for authorized user","","2020-08-07","passed","2020-08-07","","io.eroshenkoam.allure.PullRequestsWebTest","io.eroshenkoam.allure.PullRequestsWebTest","shouldCreatePullRequest"
"","2048","Close existing pull request for authorized user","","2020-08-07","passed","2020-08-07","","io.eroshenkoam.allure.PullRequestsWebTest","io.eroshenkoam.allure.PullRequestsWebTest","shouldClosePullRequest"
"","1049","Create new issue with labels","","2020-08-07","passed","2020-08-07","","io.eroshenkoam.allure.IssuesWebTest","io.eroshenkoam.allure.IssuesWebTest","shouldAddLabelToIssue"
"","1002","Create new issue authorized user","","2020-08-07","passed","2020-08-07","","io.eroshenkoam.allure.IssuesWebTest","io.eroshenkoam.allure.IssuesWebTest","shouldCreateIssue"
"","30","Create issue via api","","2020-08-07","passed","2020-08-07","","io.eroshenkoam.allure.IssuesRestTest","io.eroshenkoam.allure.IssuesRestTest","shouldCreateUserNote"
