"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Close issue via api","","Fri Aug 07 06:58:05 GMT 2020","passed","Fri Aug 07 06:58:05 GMT 2020","","io.eroshenkoam.allure.IssuesRestTest","io.eroshenkoam.allure.IssuesRestTest","shouldDeleteUserNote"
"","2048","Create new pull request for authorized user","","Fri Aug 07 06:58:05 GMT 2020","passed","Fri Aug 07 06:58:07 GMT 2020","","io.eroshenkoam.allure.PullRequestsWebTest","io.eroshenkoam.allure.PullRequestsWebTest","shouldCreatePullRequest"
"","1049","Create new issue with labels","","Fri Aug 07 06:58:05 GMT 2020","passed","Fri Aug 07 06:58:06 GMT 2020","","io.eroshenkoam.allure.IssuesWebTest","io.eroshenkoam.allure.IssuesWebTest","shouldAddLabelToIssue"
"","0","Close issue via api","","Fri Aug 07 06:58:05 GMT 2020","passed","Fri Aug 07 06:58:05 GMT 2020","","io.eroshenkoam.allure.IssuesRestTest","io.eroshenkoam.allure.IssuesRestTest","shouldDeleteUserNote"
"","2048","Close existing pull request for authorized user","","Fri Aug 07 06:58:05 GMT 2020","passed","Fri Aug 07 06:58:07 GMT 2020","","io.eroshenkoam.allure.PullRequestsWebTest","io.eroshenkoam.allure.PullRequestsWebTest","shouldClosePullRequest"
"","30","Create issue via api","","Fri Aug 07 06:58:05 GMT 2020","passed","Fri Aug 07 06:58:05 GMT 2020","","io.eroshenkoam.allure.IssuesRestTest","io.eroshenkoam.allure.IssuesRestTest","shouldCreateUserNote"
"","1","Create issue via api","","Fri Aug 07 06:58:05 GMT 2020","passed","Fri Aug 07 06:58:05 GMT 2020","","io.eroshenkoam.allure.IssuesRestTest","io.eroshenkoam.allure.IssuesRestTest","shouldCreateUserNote"
"","1002","Create new issue authorized user","","Fri Aug 07 06:58:05 GMT 2020","passed","Fri Aug 07 06:58:06 GMT 2020","","io.eroshenkoam.allure.IssuesWebTest","io.eroshenkoam.allure.IssuesWebTest","shouldCreateIssue"
"","1049","Close new issue for authorized user","","Fri Aug 07 06:58:05 GMT 2020","passed","Fri Aug 07 06:58:06 GMT 2020","","io.eroshenkoam.allure.IssuesWebTest","io.eroshenkoam.allure.IssuesWebTest","shouldCloseIssue"
